rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,45113,"D4N-Westwood (green)",9,5,0,456,396,60,1494.24,1494.24,1522.367,62.7,878
2,43764,"D4N-Needham (blue)",13,8,0,663,608,55,1518.233,1542.043,1506.907,63.5,826
3,45329,"D4N-Milton (silver)",6,7,0,447,438,9,1480.621,1476.775,1500.737,49.5,644
4,45651,"D4N-Hopkinton (kessell)",8,4,0,416,379,37,1484.354,1484.354,1500.062,63.0,756
5,43606,"D4N-Norwood (white)",6,7,0,424,446,-22,1488.388,1484.542,1487.989,49.9,649
6,43407,"D4N-Natick (blue)",8,8,0,459,461,-2,1504.678,1517.178,1467.87,58.0,812
7,44215,"D4N-Southboro (gold)",6,7,0,392,441,-49,1495.708,1491.862,1457.418,50.5,656
8,44365,"D4N-Holliston (javier)",1,12,0,268,487,-219,1505.678,1513.37,1423.697,31.4,408
